domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
habitat.noaa.gov,3809,8380,5333,2.200052507,155.3974797,5333
albuquerque.va.gov,3809,8380,5333,2.200052507,14.39984248,3809
keplerscience.arc.nasa.gov,3809,7618,3047,2,337.7946968,3047
hero.epa.gov,3809,7618,5333,2,334.1945392,3809
search.aids.gov,3809,7618,3047,2,286.7954844,3809
sealevel.nasa.gov,3809,7618,3809,2,163.1974271,3809
healthquality.va.gov,3809,7618,3809,2,48.99921239,3809
gpsn.uspto.gov,3809,7618,4571,2,20.19978997,3809
eagnmncom1c2d.usps.com,3809,7618,3809,2,15.79968496,3809
pcos.gsfc.nasa.gov,3809,7618,1524,2,6.599894986,3809
bf.usembassy.gov,3809,6856,3047,1.799947493,297.3951168,3809
texasvalley.va.gov,3809,6856,4571,1.799947493,215.3964295,3809
m.va.gov,3809,6856,3047,1.799947493,86.99868732,3809
gispub.epa.gov,3809,6856,3047,1.799947493,29.19952744,4571
policy.defense.gov,3809,6856,5333,1.799947493,11.79968496,4571
deepspace.jpl.nasa.gov,3809,6094,3809,1.599894986,308.1950643,3047
spaceradiation.jsc.nasa.gov,3809,6094,3047,1.599894986,221.196377,3809
ok.water.usgs.gov,3809,6094,3047,1.599894986,217.3964295,4571
pumas.gsfc.nasa.gov,3809,6094,3047,1.599894986,84.3985298,3809
es-redelivery.usps.com,3809,6094,2285,1.599894986,40.99921239,3809
lv.usembassy.gov,3809,6094,3809,1.599894986,22.19952744,3809
ceb.nlm.nih.gov,3809,5333,3809,1.400105014,365.5941192,3809
fim.noaa.gov,3809,5333,1524,1.400105014,11.79968496,3809
trc.nist.gov,3809,5333,762,1.400105014,4.599894986,3809
jobview.usajobs.gov,3809,5333,4571,1.400105014,3.399842478,3047
staging.disasterassistance.gov,3809,5333,3809,1.400105014,1.200052507,3809
elvprogram.ndc.nasa.gov,3809,4571,2285,1.200052507,273.3956419,3809
dpcld.defense.gov,3809,4571,3809,1.200052507,245.1961145,3809
noaasis.noaa.gov,3809,4571,3809,1.200052507,212.996587,2285
modis-land.gsfc.nasa.gov,3809,4571,3047,1.200052507,56.19900236,3809
bath.va.gov,3809,4571,3047,1.200052507,13.39984248,3047
help.usajobs.gov,3809,3809,3809,1,444.392754,762
ethics.usda.gov,3809,3809,3809,1,182.3969546,2285
kittrell.jobcorps.gov,3809,3809,1524,1,14.79968496,3047
la.usembassy.gov,3809,3809,3809,1,2.399842478,3809
fsaid.ed.gov,3809,3809,3809,1,0.200052507,3047
2014.spaceappschallenge.org,3809,3809,3047,1,0,3809
cnss.gov,3809,3809,3809,1,0,3809
eagnmncom115f.usps.com,3809,3809,3809,1,0,3809
eagnmncom122e.usps.com,3809,3809,3809,1,0,3809
eagnmncom1a16.usps.com,3809,3809,3809,1,0,3809
eagnmncom1bf9.usps.com,3809,3809,3809,1,0,3809
eagnmnmepd5f.usps.gov,3809,3809,3809,1,0,3809
fpc.state.gov,3809,3809,3047,1,0,3809
larc-exchange.larc.nasa.gov,3809,3809,1524,1,0,3809
